CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure
15703793,Konovalova,738,Germany,Male,58,2
15620344,McKee,813,France,Male,29,6
15812518,Palermo,657,Spain,Female,37,0
15779052,Ballard,604,Germany,Female,25,5
15770811,Wallace,519,France,Male,36,9
15780961,Cavenagh,735,France,Female,21,1
15614049,Hu,664,France,Male,55,8
15662085,Read,678,France,Female,32,9
15575185,Bushell,757,Spain,Male,33,5
15803136,Postle,416,Germany,Female,41,10
15706021,Buley,665,France,Female,34,1
15663706,Leonard,777,France,Female,32,2
15641732,Mills,543,France,Female,36,3
15701164,Onyeorulu,506,France,Female,34,4
15738751,Beit,493,France,Female,46,4
15805254,Ndukaku,652,Spain,Female,75,10
15762418,Gant,750,Spain,Male,22,3
15625759,Rowley,729,France,Male,30,9
15622897,Sharpe,646,France,Female,46,4
15767954,Osborne,635,Germany,Female,28,3
15757535,Heap,647,Spain,Female,44,5
15731511,Ritchie,808,France,Male,45,7
15809248,Cole,524,France,Female,36,10
15640635,Capon,769,France,Male,29,8
15676966,Capon,730,Spain,Male,42,4
15699461,Fiorentini,515,Spain,Male,35,10
15738721,Graham,773,Spain,Male,41,9
15693683,Yuille,814,Germany,Male,29,8
15604348,Allard,710,Spain,Male,22,8
15633059,Fanucci,413,France,Male,34,9
15808582,Fu,665,France,Female,40,6
15743192,Hung,623,France,Female,44,6
15580146,Hung,738,France,Male,31,9
15776605,Bradley,528,Spain,Male,36,7
15804919,Dunbabin,670,Spain,Female,65,1
15613854,Mauldon,622,Spain,Female,46,4
15599195,Stiger,582,Germany,Male,32,1
15812878,Parsons,785,Germany,Female,36,2
15602312,Walkom,605,Spain,Male,33,5
15744689,T'ang,479,Germany,Male,35,9
15803526,Eremenko,685,Germany,Male,30,3
15665790,Rowntree,538,Germany,Male,39,7
15715951,Thorpe,562,France,Male,42,2
15591100,Chiemela,675,Spain,Male,36,9
15609618,Fanucci,721,Germany,Male,28,9
15675522,Ko,628,Germany,Female,30,9
15705512,Welch,668,Germany,Female,37,6
15698028,Duncan,506,France,Female,41,1
15661670,Chidozie,524,Germany,Female,31,8
15600781,Wu,699,Germany,Male,34,4
15682472,Culbreth,828,France,Male,34,8
15580203,Kennedy,674,Spain,Male,39,6
15690673,Cameron,656,France,Female,39,6
15760085,Calabresi,684,Germany,Female,48,10
15779659,Zetticci,625,France,Female,28,3
15627360,Fuller,432,France,Male,42,9
15671137,MacDonald,549,France,Female,52,1
15782688,Piccio,625,Germany,Male,56,0
15575492,Kennedy,828,France,Female,41,7
15591607,Fernie,770,France,Male,24,9
15740404,He,758,France,Female,34,3
15718369,Kaodilinakachukwu,795,Germany,Female,33,9
15677871,Cocci,687,France,Male,38,9
15642004,Alekseeva,686,France,Male,25,1
15712543,Chinweike,789,Germany,Male,39,7
15584518,Arthur,589,Germany,Female,50,5
15802381,Li,461,Germany,Female,34,5
15610156,Ma,637,France,Male,40,2
15594408,Chia,584,Spain,Female,48,2
15640905,Vasin,579,Spain,Female,35,1
15698932,Groves,756,Germany,Male,44,10
15724944,Tien,663,France,Male,34,7
15628145,Forwood,682,France,Female,43,5
15713483,Greeves,793,Spain,Male,52,2
15612350,Taylor,691,France,Female,31,5
15800703,Madukwe,485,Spain,Female,21,5
15705707,Bennelong,635,Spain,Female,29,8
15754105,Olisanugo,650,France,Male,37,5
15703264,Chukwufumnanya,735,France,Male,44,9
15794413,Harris,416,France,Male,32,0
15650237,Morgan,754,Spain,Female,32,7
15759618,Alexeeva,535,France,Female,48,9
15811589,Metcalfe,716,Spain,Male,42,8
15689044,Humphries,539,France,Male,37,2
15709368,Milne,614,France,Female,43,6
15679145,Chou,706,Spain,Male,57,7
15655007,Li,758,France,Female,33,7
15623595,Clayton,586,Spain,Female,28,2
15589975,Maclean,646,France,Female,73,6
15804017,Chigolum,631,Germany,Female,33,4
15692132,Wilkinson,717,Spain,Female,22,6
15641122,Wei,684,France,Male,30,2
15630910,Treacy,800,France,Female,49,7
15680772,Hu,721,Spain,Female,36,2
15658929,Taverner,683,Spain,Male,29,0
15585388,Sherman,660,Germany,Male,31,9
15724623,Taubman,704,Germany,Female,24,7
15588537,Robinson,615,Spain,Female,41,9
15574692,Pinto,667,Spain,Female,39,2
15611325,Wood,682,Germany,Male,24,9
15587562,Hawkins,484,France,Female,29,4
15613172,Sun,628,Germany,Male,27,5
15651022,Yost,480,Germany,Male,44,10
15586310,Ting,578,France,Male,30,4
15625524,Rowe,512,France,Male,40,5
15755209,Fu,484,Spain,Female,35,7
15645248,Ho,510,France,Female,30,0
15790355,Okechukwu,606,Germany,Male,36,5
15762615,Campbell,597,Spain,Female,40,8
15625426,Ashbolt,754,Germany,Female,55,3
15716334,Rozier,850,Spain,Female,45,2
15789669,Hsia,510,France,Male,65,2
15621075,Ogbonnaya,778,Germany,Female,45,1
15810845,T'ang,636,France,Male,42,2
15719377,Cocci,804,France,Female,50,4
15654506,Chang,514,France,Male,32,8
15771977,T'ao,730,France,Female,39,1
15708710,Ford,525,Spain,Female,37,0
15726676,Marshall,616,Spain,Male,30,5
15587421,Tsai,687,Germany,Female,34,7
15726931,Onwumelu,715,France,Female,41,8
15771086,Graham,512,France,Female,36,3
15756850,Golovanov,479,France,Male,40,1
15702741,Potts,601,France,Male,32,8
15679200,Crawford,580,Spain,Male,29,9
15594815,Aleshire,807,France,Male,35,3
15635905,Moran,616,Spain,Female,32,6
15777892,Samsonova,721,Germany,Male,37,3
15656176,Jenkins,501,France,Male,57,10
15811127,Volkov,521,France,Male,35,6
15604482,Chiemezie,850,Spain,Male,30,2
15622911,Jude,759,France,Male,42,4
15600974,He,516,Spain,Male,50,5
15727868,Onuora,711,France,Female,38,2
15627801,Ginikanwa,512,Spain,Male,33,3
15773039,Ku,550,France,Male,37,3
15755262,McDonald,608,Spain,Female,41,3
15679531,Collins,618,France,Male,34,5
15684181,Hackett,643,France,Male,45,5
15612087,Dike,671,France,Male,45,2
15752047,Trevisano,689,Germany,Male,33,2
15624592,Tan,603,France,Male,31,8
15573152,Glassman,620,France,Female,41,9
15594917,Miller,676,France,Female,34,1
15785542,Kornilova,572,Germany,Male,26,4
15723488,Watson,668,Germany,Male,47,7
15680920,Marchesi,695,France,Male,46,7
15786308,Millar,730,Spain,Female,33,9
15659366,Shih,807,France,Male,43,1
15774854,Fuller,592,France,Male,54,8
15725311,Hay,726,France,Female,31,9
15787155,Yang,514,Spain,Male,30,7
15727829,McIntyre,567,France,Male,42,2
15733247,Stevenson,850,France,Male,33,10
15568748,Poole,671,Germany,Male,45,6
15699029,Bagley,670,France,Male,37,4
15774393,Ch'ien,694,France,Female,30,9
15676895,Cattaneo,547,Germany,Female,39,6
15637753,O'Sullivan,751,Germany,Male,50,2
15605461,Lucas,594,Germany,Female,29,3
15808473,Ringrose,673,France,Male,72,1
15627000,Freeman,610,France,Male,40,0
15787174,Sergeyev,512,France,Female,37,1
15723886,Fiore,767,Germany,Male,20,3
15704769,Smith,585,France,Female,67,5
15772896,Dumetochukwu,763,Germany,Male,42,6
15711540,Pacheco,712,France,Female,29,2
15764866,Synnot,539,Germany,Female,43,3
15794056,Johnston,668,France,Female,46,2
15795149,Stevens,703,France,Male,28,2
15812009,Grant,662,Spain,Male,38,4
15651001,Tsao,725,Germany,Female,39,5
15813844,Barnes,703,France,Male,37,8
15596175,McIntosh,659,Germany,Male,67,6
15576269,Madison,523,Spain,Male,34,7
15797219,Ifesinachi,635,France,Female,40,10
15685500,Glazkov,772,Germany,Male,26,7
15599792,Dimauro,545,France,Female,26,1
15657566,Wieck,634,Germany,Male,24,8
15772423,Liao,739,Germany,Male,54,8
15628112,Hughes,771,Germany,Female,36,5
15753754,Morrison,587,Spain,Female,34,1
15793726,Matveyeva,681,France,Female,79,0
15694717,Ku,544,Germany,Male,37,2
15665834,Cheatham,696,Spain,Male,28,8
15765297,Yao,766,Spain,Male,41,0
15636684,Kirkland,727,France,Male,34,10
15592979,Rose,671,Germany,Female,34,6
15750803,Jess,693,France,Female,30,6
15607178,Welch,850,Germany,Male,38,3
15713853,Ifeajuna,732,Germany,Male,42,9
15673481,Morton,726,Spain,Female,48,6
15686776,Rossi,557,France,Female,32,6
15673693,Reppert,682,France,Female,26,0
15700696,Kang,738,Spain,Male,31,9
15813163,Ch'iu,531,Spain,Female,36,9
15653857,Wallis,498,France,Male,34,2
15777076,Clark,651,France,Male,36,7
15717398,Fielding,549,Spain,Female,39,7
15799217,Zetticci,791,Germany,Female,35,7
15787071,Dulhunty,650,Spain,Male,41,9
15619955,Bevington,733,Germany,Male,34,3
15796505,Boyle,811,Germany,Female,34,1
15725166,Newton,707,France,Male,30,8
15800116,Bowman,712,Germany,Male,28,4
15758685,Dubinina,706,Spain,Female,37,7
15694456,Toscani,756,France,Male,62,3
15767339,Chiazagomekpere,777,France,Female,53,10
15683562,Allen,646,France,Male,35,6
15782210,K'ung,714,France,Male,46,1
15668893,Wilsmore,782,France,Male,39,8
15669169,Hargreaves,775,Spain,Male,29,10
15643024,Huang,479,Germany,Male,35,4
15699389,Ch'ien,807,France,Male,42,7
15708608,Wallwork,799,France,Female,22,8
15626144,Chu,675,France,Male,40,7
15573112,Kang,602,Spain,Male,29,5
15790678,Davidson,475,France,Female,32,8
15727556,O'Donnell,744,Spain,Female,26,5
15697307,Nnachetam,588,Spain,Male,34,10
15652266,Chidiebele,703,Germany,Male,42,9
15607098,Ahmed,747,Spain,Female,41,5
15655774,Booth,583,France,Male,27,7
15590241,Chuang,750,Spain,Female,34,9
15785819,Shao,681,France,Male,38,3
15723654,Tsao,773,France,Male,25,2
15774510,Tien,714,France,Female,31,4
15684173,Chang,687,Spain,Female,44,7
15650068,Johnson,511,France,Male,58,0
15811490,French,627,France,Male,33,5
15803976,Efremov,694,France,Female,31,10
15682541,Hartley,616,Spain,Female,36,6
15695699,Calabrese,687,France,Male,35,8
15624188,Chiu,712,France,Female,33,6
15812191,Brennan,553,France,Male,33,4
15636673,Onwuatuegwu,667,France,Male,31,1
15594898,Hewitt,731,France,Male,43,2
15660211,Shih,629,Germany,Male,35,7
15773972,Balashov,614,France,Male,50,4
15746726,Doyle,438,Germany,Male,31,8
15712287,Pokrovskii,652,France,Female,80,4
15702919,Collins,729,Germany,Male,30,6
15674398,Russo,642,France,Male,38,3
15797960,Skinner,806,Germany,Female,59,0
15631868,Robertson,744,Spain,Male,36,2
15581539,Atkinson,474,Spain,Male,37,3
15662736,Doyle,559,France,Male,49,2
15666252,Ritchie,706,Spain,Male,42,9
15677512,McEncroe,628,Spain,Female,22,3
15626114,Pearson,429,France,Male,24,4
15810834,Gordon,525,Spain,Female,57,2
15678910,Ts'ai,680,France,Female,30,8
15694408,Lung,749,France,Male,40,1
15585215,Yuan,763,France,Female,31,4
15682757,Pardey,734,France,Male,30,3
15736601,Tai,716,France,Male,35,4
15601848,Scott,594,France,Male,35,2
15736008,Hunter,644,France,Female,46,9
15669064,Mazzanti,671,Germany,Male,35,1
15624528,L?,664,Germany,Male,26,7
15598493,Beach,656,France,Male,50,7
15601274,Hsieh,667,Spain,Female,40,1
15702669,Faulkner,663,Germany,Male,44,2
15728669,Knowles,584,Germany,Female,30,8
15742668,Day,626,Spain,Female,37,6
15697441,Hsueh,485,France,Male,29,7
15740476,Tsao,659,Germany,Female,32,3
15648064,Kennedy,649,France,Male,33,2
15636624,Nwabugwu,805,Spain,Female,39,5
15807923,Young,716,Germany,Female,39,10
15745844,Kerr,642,Germany,Female,40,6
15786170,Tien,659,France,Male,31,4
15681081,Marrero,545,Spain,Female,47,5
15684484,White,543,France,Male,22,8
15785869,Pisano,718,France,Female,25,7
15763859,Brown,840,France,Female,43,7
15658935,Freeman,630,Germany,Female,34,9
15747358,Russell,643,Germany,Male,59,3
15735203,Seleznyov,654,Germany,Female,32,1
15576256,Yusupova,582,France,Male,39,5
15659420,Foley,659,Spain,Male,32,3
15593365,Shih,762,Spain,Male,39,2
15777352,Ikedinachukwu,568,Spain,Female,32,7
15812007,Power,670,Spain,Male,25,6
15625461,Amos,613,France,Female,45,1
15739438,Reed,539,France,Male,30,0
15611759,Simmons,850,Spain,Female,57,8
15661629,Ricci,522,Spain,Male,34,9
15633950,Yen,737,France,Male,41,1
15592386,Campbell,520,France,Male,58,3
15803716,West,706,Spain,Male,28,3
15696674,Robinson,643,Germany,Female,45,2
15706365,Bianchi,648,France,Female,50,9
15745088,Chen,443,Germany,Female,29,9
15676715,Madukaego,640,France,Male,68,9
15613085,Ibrahimova,628,Spain,Female,33,3
15633537,Nolan,540,Germany,Female,42,9
15594720,Scott,460,Germany,Female,35,8
15684042,Blair,636,Germany,Male,34,2
15583303,Monaldo,593,France,Female,29,2
15611579,Sutherland,801,Spain,Male,42,4
15774696,Cole,640,Germany,Female,75,1
15694506,Briggs,611,Germany,Male,31,0
15688074,Gregory,802,Germany,Male,31,1
15759537,Bianchi,717,Germany,Male,35,7
15758449,Angelo,769,France,Female,39,8
15583456,Gardiner,745,Germany,Male,45,10
15667871,Kerr,572,Spain,Male,35,4
15677371,Ko,629,Spain,Female,30,2
15629677,Distefano,687,Spain,Female,39,2
15713578,Farrell,483,France,Female,50,9
15591509,Milano,690,France,Male,36,7
15568240,Ting,492,Germany,Female,30,10
15622993,Boyd,709,Germany,Male,28,8
15689294,Onyemaechi,705,Germany,Male,44,3
15720910,Black,560,France,Female,66,9
15721181,Oliver,611,Spain,Male,46,6
15776433,Greco,730,Spain,Male,62,2
15748936,Whitehead,709,Spain,Female,45,2
15717225,Ikemefuna,544,France,Female,21,10
15685226,Morrison,712,Germany,Female,29,7
15785611,Onyeoruru,752,Germany,Male,38,3
15573456,Cunningham,648,Spain,Male,46,9
15684548,Demidov,556,Spain,Male,38,8
15620505,Celis,594,Spain,Female,24,0
15807432,Cheng,645,Germany,Female,37,2
15584766,Knight,557,France,Male,33,3
15612187,Morin,547,Germany,Male,32,8
15762218,Mills,701,France,Female,39,9
15646372,Outhwaite,616,France,Female,66,1
15690452,Tung,605,France,Male,52,1
15747795,Pai,593,Germany,Female,38,4
15781589,Carpenter,751,Spain,Male,52,8
15732674,Fennell,443,Spain,Male,36,6
15642291,Fontaine,685,France,Male,23,8
15692761,Pratt,718,France,Male,36,9
15578045,Mitchell,538,Spain,Female,49,9
15745354,Franklin,611,Spain,Female,37,4
15701376,K'ung,668,Germany,Male,37,10
15691625,Ko,537,Germany,Female,41,3
15566594,McKenzie,709,Spain,Male,23,10
15760431,Pino,850,France,Male,38,1
15686302,Fisk,745,Spain,Female,31,3
15801559,Chiang,693,Germany,Female,41,9
15810432,Moseley,795,Spain,Male,35,8
15809616,Hsiung,626,Spain,Male,26,8
15720559,Heath,487,Germany,Female,61,5
15695632,Dellucci,556,France,Female,39,9
15659843,Li,643,France,Female,46,6
15615624,De Salis,605,France,Female,28,6
15810418,T'ang,756,Germany,Female,60,3
15716186,Richardson,586,France,Female,38,2
15674551,Fitch,535,Germany,Male,40,7
15622834,Stevenson,678,France,Female,35,4
15566111,Estes,596,France,Male,39,9
15784597,Lattimore,648,France,Male,26,9
15652883,Chung,492,Germany,Male,39,10
15806964,Utz,702,France,Male,45,0
15576313,Wei,486,Germany,Female,40,9
15806467,Boyle,568,Germany,Male,40,1
15597602,Nwachinemelu,619,Germany,Male,57,3
15743040,Kuznetsova,724,Germany,Male,41,2
15705521,Pisani,548,Germany,Female,33,0
15595039,Manna,545,Germany,Female,37,8
15799384,Collier,683,France,Male,33,8
15581197,Ricci,762,France,Female,51,3
15693737,Carr,627,Germany,Female,30,4
15624623,Hs?,516,France,Male,35,10
15783501,Findlay,800,France,Female,38,2
15690134,Hughes,464,Germany,Female,42,3
15782735,Chukwuemeka,626,France,Female,35,3
15611088,Genovese,790,France,Female,31,9
15672145,Swift,534,France,Female,34,7
15732628,Ugoji,745,France,Male,46,2
15787470,Parkinson,553,Spain,Male,47,3
15803406,Ross,748,France,Female,26,1
15730460,Oleary,722,France,Male,37,2
15644572,Turnbull,501,France,Male,40,4
15694860,Uspensky,675,France,Female,38,6
15658169,Cook,778,Spain,Female,47,6
15794396,Newbold,494,Germany,Female,38,7
15785798,Uchechukwu,850,France,Male,40,9
15710825,Ch'en,592,Spain,Male,31,7
15668444,He,590,Spain,Female,44,3
15726631,Hilton,758,France,Female,39,6
15733797,Sal,506,France,Male,36,5
15747960,Eluemuno,733,France,Male,33,3
15634632,Titus,711,France,Male,38,3
15707362,Yin,514,Germany,Male,43,1
15662976,Lettiere,637,Spain,Male,37,8
15732778,Templeman,468,Germany,Male,29,1
15718443,Chibuzo,539,France,Male,39,3
15670039,Sun,509,Spain,Female,25,3
15773792,Evans,662,France,Female,32,4
15613786,Ogbonnaya,818,Spain,Male,26,4
15726032,Enyinnaya,608,France,Male,33,9
15663252,Olisanugo,850,Spain,Female,32,9
15593782,Brookes,816,Germany,Female,38,5
15633283,Padovano,536,France,Male,35,8
15749167,Fisk,753,France,Male,35,3
15759298,Shih,631,Spain,Male,27,10
15683625,Hare,703,France,Male,37,1
15635367,Muir,774,France,Male,26,2
15681705,Fanucci,785,France,Male,28,8
15603156,Elewechi,571,France,Female,33,1
15591986,Johnston,621,Germany,Male,46,6
15798888,Pisano,605,Germany,Female,31,1
15809722,Ankudinov,611,France,Female,40,8
15677538,Nwokike,569,France,Male,38,7
15797736,Smith,658,France,Male,29,4
15695585,Atkins,788,Spain,Male,34,6
15744398,Burns,525,France,Female,23,5
15750658,Obiuto,798,France,Male,37,8
15578186,Pirozzi,486,Germany,Male,37,9
15676519,George,615,Spain,Male,61,9
15637954,Lewis,730,France,Female,35,0
15758639,Moran,641,France,Male,37,7
15613772,Dalrymple,542,France,Male,39,3
15731744,Carslaw,692,France,Male,30,2
15807709,Kirby,714,Germany,Female,55,9
15714689,Houghton,591,Spain,Male,29,1
15699005,Martin,710,France,Female,41,2
15624170,Tan,639,France,Female,38,4
15725679,Hsia,531,France,Female,47,6
15585865,Westerberg,673,France,Female,38,2
15804256,Hale,765,Germany,Male,36,8
15662403,Kryukova,622,France,Female,32,6
15733616,Sopuluchukwu,806,France,Male,40,5
15591995,Barry,757,Germany,Male,26,8
15677020,Selezneva,570,France,Female,58,8
15727688,Chizuoke,555,Spain,Male,32,4
15715941,Lueck,692,France,Male,54,5
15714485,Udinese,774,France,Male,60,5
15730059,Udobata,638,Spain,Male,44,9
15715527,Freeman,543,Spain,Female,41,4
15576623,Outlaw,584,France,Male,31,5
15805565,Obiuto,691,Germany,Male,30,7
15677307,Lo,684,Germany,Female,40,6
15773890,Okechukwu,733,France,Male,22,5
15598883,King,599,Spain,Female,37,2
15568506,Forbes,524,Germany,Female,31,10
15761043,Macleod,632,Germany,Female,38,6
15782236,Gibbs,735,Spain,Male,34,5
15593601,Isayev,734,France,Male,34,6
15682048,Pisano,605,France,Female,51,3
15746902,Belstead,793,Spain,Male,38,9
15752081,Vassiliev,468,France,Female,56,10
15781307,Schneider,779,Germany,Male,37,7
15775912,Mazzanti,698,France,Male,48,4
15745417,Knipe,707,France,Male,58,6
15671256,Macartney,850,France,Female,35,1
15653547,Madukwe,850,France,Male,56,7
15595766,Watts,527,Spain,Male,37,5
15742358,Humphreys,696,Germany,Male,32,8
15763274,Wu,661,France,Male,48,3
15786063,Chin,776,France,Female,31,2
15600258,Chesnokova,701,France,Male,43,2
15573318,Kung,610,France,Male,26,8
15653849,Lu,572,Germany,Female,48,3
15694272,Nkemakolam,673,France,Male,30,1
15736112,Walton,519,Spain,Female,57,2
15749851,Brookes,702,Spain,Female,26,4
15663478,Baldwin,729,France,Male,32,6
15592300,Mai,543,Spain,Male,35,10
15567832,Shih,550,France,Female,40,7
15776780,He,608,France,Male,59,1
15592846,Fiorentini,639,Germany,Male,35,10
15739803,Lucciano,686,Spain,Male,34,9
15794142,Ferreira,564,Germany,Female,62,5
15762729,Ukaegbunam,745,Germany,Female,28,1
15667896,De Luca,833,France,Male,37,8
15626578,Milne,622,France,Male,26,9
15776223,Davide,597,France,Female,42,4
15705953,Kodilinyechukwu,721,Spain,Male,51,0
15802593,Little,504,France,Female,49,7
15615457,Burns,842,Spain,Female,44,2
15708916,Paterson,587,France,Male,38,0
15720187,Han,479,Germany,Female,30,7
15595440,Kryukova,508,France,Male,49,7
15600651,Ijendu,749,France,Male,24,1
15750141,Reichard,721,Germany,Female,36,3
15657284,Day,674,Germany,Male,47,6
15763063,Price,685,Spain,Female,25,10
15709324,Bruce,417,France,Male,34,7
15711309,Sumrall,574,Germany,Male,33,3
15775318,Lu,590,Spain,Female,51,3
15705515,Lazarev,587,Germany,Male,40,5
15634844,Miller,598,Germany,Male,41,3
15717046,Wentworth-Shields,741,Spain,Male,53,3
15571816,Ritchie,850,Spain,Female,70,5
15670080,Mackenzie,584,Germany,Female,29,7
15800440,Power,650,Spain,Male,61,1
15665678,Tan,607,Spain,Male,36,8
15665956,Pendergrass,509,France,Female,46,1
15788126,Evans,689,Spain,Female,38,6
15811773,Hsia,543,France,Male,36,4
15651674,Billson,438,Spain,Female,54,2
15689614,Teng,687,Spain,Female,63,1
15795564,Moretti,737,Germany,Male,31,5
15706647,Jordan,761,France,Male,31,7
15728505,Ts'ao,601,France,Male,44,1
15730076,Osborne,651,France,Male,45,1
15622003,Carslaw,745,France,Male,35,9
15607312,Ch'ang,648,Spain,Female,49,10
15644753,Hung,848,Spain,Male,40,3
15653620,Gordon,546,France,Female,27,8
15761986,Obialo,439,Spain,Female,32,3
15633922,Gray,755,France,Male,30,4
15734674,Lin,593,France,Female,41,6
15658032,Hopkins,701,France,Male,39,2
15692671,Dobson,701,Spain,Male,36,8
15737741,McKay,607,Spain,Female,33,2
15576352,Revell,586,Spain,Female,57,3
15753719,Rickards,547,Germany,Female,30,9
15803689,Begum,647,Germany,Female,51,1
15718057,Onyinyechukwuka,760,France,Female,51,2
15722010,Zuyev,621,Spain,Male,53,9
15680998,Nwankwo,725,France,Male,44,5
15614782,Hao,526,France,Male,36,1
15591047,Ma,519,Spain,Female,47,6
15788291,Okwuadigbo,713,Germany,Female,38,7
15604044,Mitchell,700,France,Male,38,8
15679587,Chan,666,France,Female,34,9
15775153,Buchi,630,Spain,Male,32,4
15603925,Greco,779,Spain,Female,26,4
15680970,Lombardi,611,Germany,Female,41,2
15697183,Uchenna,685,Spain,Male,43,9
15567446,Coffman,646,Germany,Male,39,9
15637476,Alexandrova,683,Germany,Female,57,5
15714939,Fallaci,484,Germany,Female,34,4
15683503,Hudson,601,France,Female,43,8
15645569,Mai,762,Spain,Female,26,7
15782569,Stout,687,France,Female,72,9
15592387,Burke,566,France,Male,30,5
15609286,Chadwick,702,France,Male,37,10
15814035,Lawrence,601,France,Male,29,9
15661249,Bellucci,699,France,Male,53,4
15629117,Harper,584,France,Male,28,10
15607170,Boyle,699,France,Male,35,5
15586585,Duncan,698,Germany,Female,51,2
15686611,Moss,495,France,Male,30,10
15603203,Avdeyeva,650,France,Female,27,6
15619857,Crawford,605,France,Female,64,2
15805062,Lynton,667,Spain,Male,38,1
15660271,Duncan,688,Germany,Male,26,8
15745295,Gether,727,Spain,Female,31,0
15719352,Davidson,754,Spain,Male,39,6
15766575,Larionova,612,Germany,Female,62,8
15594594,Loggia,546,Spain,Male,42,7
15646161,Steinhoff,673,Spain,Female,37,8
15682585,Guerra,593,France,Male,35,9
15603134,Pai,656,Spain,Female,40,10
15636444,Craig,535,Germany,Female,53,5
15773456,Lazareva,678,Germany,Male,36,3
15745307,Ch'iu,477,Spain,Female,48,2
15604119,Alderete,850,Spain,Male,35,7
15626900,Kung,427,France,Male,29,1
15605447,Palermo,752,France,Male,49,2
15589030,Ts'ai,649,France,Male,47,1
15692463,Rahman,799,Spain,Female,28,3
15712403,McMillan,589,France,Female,61,1
15811762,Pickering,583,Germany,Female,54,6
15718673,Mirams,839,Spain,Female,33,10
15724282,Tsao,540,Germany,Male,44,3
15738181,Douglas,850,France,Male,31,6
15633648,Jideofor,696,Spain,Female,51,5
15603323,Bell,660,Spain,Female,33,1
15583725,Mairinger,682,France,Male,48,1
15588350,McIntyre,744,France,Female,43,10
15798398,Pagnotto,785,France,Female,36,4
15784844,K'ung,752,Spain,Male,48,5
15580684,Feng,706,France,Female,29,5
15809663,Donaldson,583,France,Female,27,1
15640078,Chambers,660,Germany,Female,39,5
15698786,Marcelo,819,France,Female,39,9
15569807,Ejimofor,673,France,Female,34,8
15730830,Dale,752,France,Female,30,3
15805112,Pokrovsky,578,France,Male,38,7
15633064,Stonebraker,438,France,Female,36,4
15703119,Liang,652,France,Male,38,6
15730447,Anderson,629,France,Female,49,4
15813850,Christian,720,France,Male,52,7
15711889,Mao,668,France,Male,42,3
15664610,Campbell,459,Germany,Male,48,4
15751710,Ginikanwa,729,Spain,Male,31,8
